glyph_type,model,unsigned_euclidean_sum,signed_euclidean_sum,n_points_in,avg_unsigned,avg_signed
beer,linear,6.994,-0.640,275,0.02543,-0.00233
beer,gamma,7.101,-0.497,275,0.02582,-0.00181
beer,poly3c,6.789,-0.035,275,0.02469,-0.00013
candle,linear,11.456,1.350,190,0.06029,0.00711
candle,gamma,11.930,2.997,190,0.06279,0.01577
candle,poly3c,13.566,1.999,190,0.07140,0.01052
circle,linear,1.449,0.320,64,0.02264,0.00499
circle,gamma,1.454,0.214,64,0.02273,0.00335
circle,poly3c,1.442,0.050,64,0.02254,0.00078
circular_progressbar,linear,4.465,0.899,264,0.01691,0.00341
circular_progressbar,gamma,4.354,0.109,264,0.01649,0.00041
circular_progressbar,poly3c,4.345,0.236,264,0.01646,0.00089
flower,linear,7.704,-2.268,267,0.02885,-0.00850
flower,gamma,7.309,-0.005,267,0.02737,-0.00002
flower,poly3c,7.251,-0.006,267,0.02716,-0.00002
line,linear,1.653,0.015,65,0.02544,0.00023
line,gamma,1.649,-0.087,65,0.02537,-0.00133
line,poly3c,1.629,-0.273,65,0.02506,-0.00420
polygon,linear,2.413,0.435,73,0.03306,0.00596
polygon,gamma,2.456,0.911,73,0.03364,0.01247
polygon,poly3c,2.653,0.338,73,0.03634,0.00462
ripple_wave,linear,6.835,-0.500,200,0.03418,-0.00250
ripple_wave,gamma,7.002,0.056,200,0.03501,0.00028
ripple_wave,poly3c,7.084,-0.588,200,0.03542,-0.00294
square,linear,1.014,0.265,57,0.01779,0.00465
square,gamma,0.978,0.102,57,0.01716,0.00179
square,poly3c,0.992,0.070,57,0.01741,0.00124
star,linear,1.598,-0.080,71,0.02251,-0.00113
star,gamma,1.622,0.366,71,0.02285,0.00515
star,poly3c,1.530,0.152,71,0.02155,0.00214
sun,linear,9.566,0.401,266,0.03596,0.00151
sun,gamma,8.297,-1.400,266,0.03119,-0.00526
sun,poly3c,5.997,1.116,266,0.02255,0.00420
sun_cc,linear,5.239,2.464,258,0.02031,0.00955
sun_cc,gamma,4.367,-0.060,258,0.01693,-0.00023
sun_cc,poly3c,5.205,0.977,258,0.02018,0.00379
tree_growth,linear,9.879,-5.004,295,0.03349,-0.01696
tree_growth,gamma,9.925,-1.648,295,0.03364,-0.00559
tree_growth,poly3c,9.214,-0.258,295,0.03123,-0.00087
